================================================================================
ASIGT EXECUTION LOG
================================================================================
Run ID:      20260122-1430__KITDM-CTR-LM-CSDB_ATA28
Contract:    KITDM-CTR-LM-CSDB_ATA28
Baseline:    FBL-2026-Q1-003
Started:     2026-01-22T14:30:00Z
ASIT Ver:    2.0.0
ASIGT Ver:   2.0.0
================================================================================

[2026-01-22T14:30:00.000Z] INFO  ============================================
[2026-01-22T14:30:00.001Z] INFO  ASIGT Execution Starting
[2026-01-22T14:30:00.002Z] INFO  ============================================

[2026-01-22T14:30:00.010Z] INFO  Phase: INITIALIZATION
[2026-01-22T14:30:00.015Z] INFO  Loading ASIGT configuration
[2026-01-22T14:30:00.025Z] INFO  Configuration loaded successfully
[2026-01-22T14:30:00.030Z] INFO  Loading contract: KITDM-CTR-LM-CSDB_ATA28
[2026-01-22T14:30:00.150Z] INFO  Contract path: ASIT/CONTRACTS/active/KITDM-CTR-LM-CSDB_ATA28.yaml
[2026-01-22T14:30:00.200Z] INFO  Contract version: 1.2.0
[2026-01-22T14:30:00.250Z] INFO  Validating contract structure
[2026-01-22T14:30:00.500Z] INFO  Contract validated successfully
[2026-01-22T14:30:00.510Z] INFO  Contract scope: ATA 28 (Fuel System)
[2026-01-22T14:30:00.520Z] INFO  Target publication: AMM/IPC
[2026-01-22T14:30:00.530Z] INFO  Initialization complete (0.53s)

[2026-01-22T14:30:01.000Z] INFO  Phase: INPUT LOADING
[2026-01-22T14:30:01.010Z] INFO  Loading baseline: FBL-2026-Q1-003
[2026-01-22T14:30:01.100Z] INFO  Baseline date: 2026-01-15
[2026-01-22T14:30:01.110Z] INFO  Baseline authority: CCB-2026-0042
[2026-01-22T14:30:01.200Z] INFO  Baseline verified against ASIT registry
[2026-01-22T14:30:01.300Z] INFO  Loading source artifacts from KDB
[2026-01-22T14:30:02.000Z] INFO  Loading requirements: 15 items
[2026-01-22T14:30:03.500Z] INFO  Loading tasks: 12 items
[2026-01-22T14:30:05.000Z] INFO  Loading repairs: 5 items
[2026-01-22T14:30:07.000Z] INFO  Loading parts BOM: 15 items
[2026-01-22T14:30:10.000Z] INFO  Loading ICN sources: 12 items
[2026-01-22T14:30:14.000Z] INFO  Computing input hashes
[2026-01-22T14:30:15.000Z] INFO  Input manifest created
[2026-01-22T14:30:15.100Z] INFO  Total inputs loaded: 47
[2026-01-22T14:30:15.200Z] INFO  Combined input hash: sha256:fedcba09...
[2026-01-22T14:30:15.300Z] INFO  Input loading complete (14.30s)

[2026-01-22T14:30:16.000Z] INFO  Phase: TRANSFORMATION
[2026-01-22T14:30:16.010Z] INFO  Loading transformation mappings
[2026-01-22T14:30:16.100Z] INFO  Loaded: requirement_to_dm.yaml
[2026-01-22T14:30:16.150Z] INFO  Loaded: task_to_dm.yaml
[2026-01-22T14:30:16.200Z] INFO  Loaded: repair_to_dm.yaml
[2026-01-22T14:30:16.250Z] INFO  Loaded: parts_to_ipd.yaml
[2026-01-22T14:30:16.300Z] INFO  Loading S1000D templates
[2026-01-22T14:30:16.500Z] INFO  Templates loaded: 6

[2026-01-22T14:30:17.000Z] INFO  --- Processing Requirements ---
[2026-01-22T14:30:17.100Z] INFO  Processing: REQ-28-001 (Fuel Pressurization)
